"Year","Month","DOY","DOYTemp","Min","Max"
1996,4,120,-10.6586111111111,-10.7166666666667,-10.5833333333333
1996,4,121,-10.6586111111111,-10.7133333333333,-10.5733333333333
1996,5,122,-10.6673611111111,-10.7066666666667,-10.61
1996,5,123,-10.5630555555556,-10.63,-10.48
1996,5,124,-10.5646527777778,-10.865,-10.43
1996,5,125,-10.6458333333333,-10.7766666666667,-10.5366666666667
1996,5,126,-10.8115277777778,-10.94,-10.72
1996,5,127,-10.9401388888889,-11.0566666666667,-10.84
1996,5,128,-10.9898611111111,-11.0233333333333,-10.91
1996,5,129,-10.9359722222222,-10.9966666666667,-10.89
1996,5,130,-10.8261111111111,-10.9133333333333,-10.7666666666667
1996,5,131,-10.6688888888889,-10.7966666666667,-10.58
1996,5,132,-10.4927777777778,-10.5966666666667,-10.43
1996,5,133,-10.3448611111111,-10.4633333333333,-10.28
1996,5,134,-10.14875,-10.2866666666667,-10.0766666666667
1996,5,135,-9.94111111111111,-10.06,-9.88333333333333
1996,5,136,-9.71013888888889,-9.89333333333333,-9.56
1996,5,137,-9.4025,-9.6,-9.22666666666667
1996,5,138,-8.99361111111111,-9.19666666666667,-8.80666666666667
1996,5,139,-8.59208333333333,-8.81,-8.43
1996,5,140,-8.19180555555556,-8.41,-8.05
1996,5,141,-7.76236111111111,-8.02333333333333,-7.56333333333333
1996,5,142,-7.27402777777778,-7.53333333333333,-7.03333333333333
1996,5,143,-6.70472222222222,-6.98333333333333,-6.41333333333333
1996,5,144,-6.14041666666667,-6.41333333333333,-5.82333333333333
1996,5,145,-5.595,-5.69333333333333,-5.44666666666667
1996,5,146,-5.58625,-5.66333333333333,-5.53666666666667
1996,5,147,-5.46666666666667,-5.53666666666667,-5.40666666666667
1996,5,148,-5.34708333333333,-5.42,-5.26
1996,5,149,-5.14486111111111,-5.26,-5.02
1996,5,150,-4.92,-5,-4.85333333333333
1996,5,151,-4.81152777777778,-4.88333333333333,-4.75
1996,5,152,-4.68083333333333,-4.76333333333333,-4.48333333333333
1996,6,153,-3.99958333333333,-4.51333333333333,-3.20333333333333
1996,6,154,-3.25444444444444,-3.44666666666667,-2.6
1996,6,155,-2.58861111111111,-2.78666666666667,-2.2
1996,6,156,-1.80097222222222,-2.17,-1.07
1996,6,157,-0.659583333333333,-1.1,-0.33
1996,6,158,-0.277638888888889,-0.333333333333333,-0.226666666666667
1996,6,159,-0.199444444444444,-0.243333333333333,-0.146666666666667
1996,6,160,-0.163194444444444,-0.213333333333333,-0.126666666666667
1996,6,161,-0.12625,-0.173333333333333,-0.08
1996,6,162,-0.103194444444444,-0.15,-0.07
1996,6,163,-0.0847222222222222,-0.133333333333333,-0.04
1996,6,164,-0.0608333333333333,-0.1,-0.02
1996,6,165,-0.0161111111111111,-0.0633333333333333,0.0333333333333333
1996,6,166,0.0358333333333333,-0.0233333333333333,0.1
1996,6,167,0.169166666666667,0.09,0.236666666666667
